"stype","p","ootype","propType","scnt","ocnt","cnt","min_sp","max_sp","avg_sp"
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","object",644,1,644,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#alias","http://www.w3.org/2001/XMLSchema#string","data",644,644,644,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasAmount","https://webgate.acceptance.ec.testa.eu/euodp/bud#Commitment","object",306,902,902,2,6,5.946784922394678
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasAmount","https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","object",91,272,272,2,5,3.014705882352941
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasAmount","https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","object",306,902,902,2,6,5.946784922394678
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasCorporateBody",,"data",32,29,32,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasEuProgramme",,"data",113,49,113,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasItem","https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","object",247,905,905,1,30,8.542541436464088
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#heading",,"data",644,12904,14812,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#legal",,"data",327,6268,7521,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#legal","http://www.w3.org/2001/XMLSchema#string","data",1,1,1,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#reference",,"data",66,1438,1518,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#remark",,"data",369,7989,8480,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","https://webgate.acceptance.ec.testa.eu/euodp/bud#remark","http://www.w3.org/2001/XMLSchema#string","data",1,7,7,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Chapter","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#Chapter","object",129,1,129,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Chapter","https://webgate.acceptance.ec.testa.eu/euodp/bud#alias","http://www.w3.org/2001/XMLSchema#string","data",129,129,129,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Chapter","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasArticle","https://webgate.acceptance.ec.testa.eu/euodp/bud#Article","object",129,644,644,1,30,7.96583850931677
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Chapter","https://webgate.acceptance.ec.testa.eu/euodp/bud#heading",,"data",129,2896,2933,4,23,22.940675076713263
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Chapter","https://webgate.acceptance.ec.testa.eu/euodp/bud#heading","http://www.w3.org/2001/XMLSchema#string","data",2,2,2,4,10,7
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Chapter","https://webgate.acceptance.ec.testa.eu/euodp/bud#legal",,"data",10,224,230,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Chapter","https://webgate.acceptance.ec.testa.eu/euodp/bud#reference",,"data",5,115,115,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Chapter","https://webgate.acceptance.ec.testa.eu/euodp/bud#remark",,"data",27,621,621,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Commitment","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#Commitment","object",2420,1,2420,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Commitment","https://webgate.acceptance.ec.testa.eu/euodp/bud#aele","http://www.w3.org/2001/XMLSchema#string","data",450,1,450,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Commitment","https://webgate.acceptance.ec.testa.eu/euodp/bud#figure","https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","object",2420,2420,2420,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Commitment","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasPoliticalCategory",,"data",2357,78,2357,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Commitment","https://webgate.acceptance.ec.testa.eu/euodp/bud#peco","http://www.w3.org/2001/XMLSchema#string","data",403,1,403,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Commitment","https://webgate.acceptance.ec.testa.eu/euodp/bud#reserve","https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","object",7,7,7,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Commitment","https://webgate.acceptance.ec.testa.eu/euodp/bud#status",,"data",2420,3,2420,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Commitment","https://webgate.acceptance.ec.testa.eu/euodp/bud#year","http://www.w3.org/2001/XMLSchema#string","data",2420,3,2420,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","object",905,1,905,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#alias","http://www.w3.org/2001/XMLSchema#string","data",905,905,905,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasAmount","https://webgate.acceptance.ec.testa.eu/euodp/bud#Commitment","object",550,1518,1518,4,6,5.652173913043478
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasAmount","https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","object",347,1033,1033,2,3,2.984511132623427
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasAmount","https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","object",550,1518,1518,4,6,5.652173913043478
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasCorporateBody",,"data",30,10,30,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasEuProgramme",,"data",340,47,340,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasSubItem","https://webgate.acceptance.ec.testa.eu/euodp/bud#SubItem","object",8,24,24,2,6,3.5
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#heading",,"data",905,17919,20809,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#heading","http://www.w3.org/2001/XMLSchema#string","data",6,6,6,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#legal",,"data",678,6010,15394,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#legal","http://www.w3.org/2001/XMLSchema#string","data",18,17,200,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#ppStage",,"data",215,3,215,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#reference",,"data",55,849,1265,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#remark",,"data",818,14301,18813,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#remark","http://www.w3.org/2001/XMLSchema#string","data",2,2,2,1,23,12
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Item","https://webgate.acceptance.ec.testa.eu/euodp/bud#reserveCondition",,"data",1,23,23,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","object",6162,1,6162,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","https://webgate.acceptance.ec.testa.eu/euodp/bud#currency",,"data",6162,1,6162,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","https://webgate.acceptance.ec.testa.eu/euodp/bud#value","http://www.w3.org/2001/XMLSchema#double","data",4101,3062,4101,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","https://webgate.acceptance.ec.testa.eu/euodp/bud#value","http://www.w3.org/2001/XMLSchema#string","data",2061,4,2061,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","object",1305,1,1305,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#aele","http://www.w3.org/2001/XMLSchema#string","data",369,1,369,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#delegation","http://www.w3.org/2001/XMLSchema#string","data",48,1,48,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#figure","https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","object",1305,1305,1305,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasPoliticalCategory",,"data",1299,50,1299,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#peco","http://www.w3.org/2001/XMLSchema#string","data",384,1,384,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#reserve","https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","object",3,3,3,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#status",,"data",1305,3,1305,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#year","http://www.w3.org/2001/XMLSchema#string","data",1305,3,1305,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","object",2420,1,2420,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#aele","http://www.w3.org/2001/XMLSchema#string","data",450,1,450,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#figure","https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","object",2420,2420,2420,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasPoliticalCategory",,"data",2357,78,2357,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#peco","http://www.w3.org/2001/XMLSchema#string","data",403,1,403,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#reserve","https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","object",7,7,7,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#status",,"data",2420,3,2420,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#year","http://www.w3.org/2001/XMLSchema#string","data",2420,3,2420,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#SubItem","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#SubItem","object",24,1,24,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#SubItem","https://webgate.acceptance.ec.testa.eu/euodp/bud#alias","http://www.w3.org/2001/XMLSchema#string","data",24,24,24,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#SubItem","https://webgate.acceptance.ec.testa.eu/euodp/bud#heading",,"data",24,508,552,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Title","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#Title","object",36,1,36,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Title","https://webgate.acceptance.ec.testa.eu/euodp/bud#alias","http://www.w3.org/2001/XMLSchema#string","data",36,36,36,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Title","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasChapter","https://webgate.acceptance.ec.testa.eu/euodp/bud#Chapter","object",36,129,129,1,9,4.798449612403101
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Title","https://webgate.acceptance.ec.testa.eu/euodp/bud#heading",,"data",36,828,828,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Title","https://webgate.acceptance.ec.testa.eu/euodp/bud#remark",,"data"